Date,TAI,TAI_1,TAI_2,TAI_3,TAI_4,DCFM SMOOTHBYFILTER,O2,TAO,TAO_R1,TAO_R2,TAO_R3,TAO_R4,TWI,TWO
00:23:07 03-09-2025,111.175926208496,111.175926208496,0,0,0,28.2000007629395,6.4713773727417,111.285820007324,0,0,0,0,32,32
00:24:07 03-09-2025,110.90119934082,110.90119934082,0,0,0,29,7.15819454193115,110.461639404297,0,0,0,0,32,32
00:25:07 03-09-2025,110.461639404297,110.461639404297,0,0,0,28.7999992370605,7.7076473236084,109.912185668945,0,0,0,0,32,32
00:26:07 03-09-2025,109.58251953125,109.58251953125,0,0,0,28.6000003814697,8.1502628326416,109.362739562988,0,0,0,0,32,32
00:27:07 03-09-2025,108.26383972168,108.26383972168,0,0,0,28.6000003814697,8.47077751159668,108.538558959961,0,0,0,0,32,32
00:28:07 03-09-2025,107.714385986328,107.714385986328,0,0,0,27.6000003814697,8.77602958679199,107.879219055176,0,0,0,0,32,32
00:29:07 03-09-2025,107.439659118652,107.439659118652,0,0,0,29.1000003814697,9.02023124694824,107.055046081543,0,0,0,0,32,32
00:30:07 03-09-2025,107.055046081543,107.055046081543,0,0,0,29,9.21101379394531,106.340759277344,0,0,0,0,32,32
00:31:07 03-09-2025,106.120979309082,106.120979309082,0,0,0,29,9.37890243530273,105.791305541992,0,0,0,0,32,32
00:32:07 03-09-2025,105.736358642578,105.736358642578,0,0,0,28.2000007629395,9.55442237854004,105.186912536621,0,0,0,0,32,32
00:33:07 03-09-2025,127.604507446289,0,0,0,127.604507446289,34.5,10.0275630950928,127.21989440918,0,0,0,0,32,32
00:34:07 03-09-2025,128.978134155273,0,0,0,128.978134155273,36.2999992370605,10.8364810943604,131.011108398438,0,0,0,0,32,32
00:35:07 03-09-2025,131.011108398438,0,0,0,131.011108398438,34.0999984741211,11.5690860748291,132.329788208008,0,0,0,0,32,32
00:36:07 03-09-2025,132.989135742188,0,0,0,132.989135742188,36.0999984741211,12.2787971496582,133.593521118164,0,0,0,0,32,32
00:37:07 03-09-2025,132.604522705078,0,0,0,132.604522705078,35.5999984741211,12.9198265075684,134.417709350586,0,0,0,0,32,32
00:38:07 03-09-2025,133.263854980469,0,0,0,133.263854980469,34.2999992370605,13.4082279205322,134.802322387695,0,0,0,0,32,32
00:39:07 03-09-2025,133.978149414063,0,0,0,133.978149414063,32.4000015258789,13.8050556182861,135.461654663086,0,0,0,0,32,32
00:40:07 03-09-2025,133.978149414063,0,0,0,133.978149414063,34.5999984741211,14.0950450897217,135.79133605957,0,0,0,0,32,32
00:41:07 03-09-2025,134.582534790039,0,0,0,134.582534790039,34.2000007629395,14.3239841461182,136.340774536133,0,0,0,0,32,32
00:42:07 03-09-2025,134.692428588867,0,0,0,134.692428588867,32.2999992370605,14.5071353912354,136.395721435547,0,0,0,0,32,32
00:43:07 03-09-2025,135.022094726563,0,0,0,135.022094726563,32.2000007629395,14.6826553344727,136.615509033203,0,0,0,0,32,32
00:44:07 03-09-2025,135.626495361328,0,0,0,135.626495361328,33.7999992370605,14.8429126739502,136.83528137207,0,0,0,0,32,32
00:45:07 03-09-2025,135.571548461914,0,0,0,135.571548461914,31.5,14.8887004852295,137.055068969727,0,0,0,0,32,32
00:46:08 03-09-2025,135.681442260742,0,0,0,135.681442260742,33.0999984741211,14.9802761077881,137.000122070313,0,0,0,0,32,32
00:47:08 03-09-2025,136.890228271484,0,0,0,136.890228271484,33.5,15.0565891265869,137.219909667969,0,0,0,0,32,32
00:48:08 03-09-2025,135.681442260742,0,0,0,135.681442260742,34.4000015258789,15.1100082397461,137.329788208008,0,0,0,0,32,32
00:49:08 03-09-2025,135.956161499023,0,0,0,135.901214599609,34.0999984741211,15.1329021453857,137.274841308594,0,0,0,0,32,32
00:50:08 03-09-2025,135.406707763672,0,0,0,135.296829223633,35.0999984741211,15.2168464660645,137.384735107422,0,0,0,0,32,32
00:51:08 03-09-2025,136.725402832031,0,0,0,136.725402832031,33.9000015258789,15.1939525604248,137.384735107422,0,0,0,0,32,32
00:52:08 03-09-2025,135.79133605957,0,0,0,135.79133605957,34,15.3236846923828,137.549575805664,0,0,0,0,32,32
00:53:08 03-09-2025,136.340774536133,0,0,0,136.340774536133,34.5,15.3694725036621,137.49462890625,0,0,0,0,32,32
00:54:08 03-09-2025,136.615509033203,0,0,0,136.615509033203,32.0999984741211,15.3465785980225,137.549575805664,0,0,0,0,32,32
00:55:08 03-09-2025,135.79133605957,0,0,0,135.79133605957,33.4000015258789,15.2778968811035,137.384735107422,0,0,0,0,32,32
00:56:08 03-09-2025,136.230895996094,0,0,0,136.230895996094,34.2999992370605,15.3313159942627,137.219909667969,0,0,0,0,32,32
00:57:08 03-09-2025,136.011108398438,0,0,136.011108398438,0,33.5,15.3694725036621,137.329788208008,0,0,0,0,32,32
00:58:08 03-09-2025,135.461654663086,0,0,135.461654663086,0,45,4.48723888397217,135.241882324219,0,0,0,0,32,32
00:59:08 03-09-2025,137.659469604492,0,0,137.659469604492,0,41.2999992370605,6.86057376861572,137.769348144531,0,0,0,0,32,32
01:00:08 03-09-2025,137.989135742188,0,0,137.989135742188,0,42.7000007629395,8.11973762512207,138.428695678711,0,0,0,0,32,32
01:01:08 03-09-2025,138.593536376953,0,0,138.593536376953,0,43,8.97444343566895,138.978149414063,0,0,0,0,32,32
01:02:08 03-09-2025,139.033096313477,0,0,139.033096313477,0,42.2999992370605,9.63836669921875,139.088043212891,0,0,0,0,32,32
01:03:08 03-09-2025,139.19792175293,0,0,139.19792175293,0,41.2000007629395,10.1725578308105,139.527603149414,0,0,0,0,32,32
01:04:08 03-09-2025,139.307815551758,0,0,139.307815551758,0,41.9000015258789,10.599910736084,139.582550048828,0,0,0,0,32,32
01:05:08 03-09-2025,139.417709350586,0,0,139.417709350586,0,45.5,10.9509506225586,139.692428588867,0,0,0,0,32,32
01:06:08 03-09-2025,139.692428588867,0,0,139.527603149414,0,43.5999984741211,11.2180461883545,139.637481689453,0,0,0,0,32,32
01:07:08 03-09-2025,139.967163085938,0,0,139.967163085938,0,44.5999984741211,11.4546165466309,139.967163085938,0,0,0,0,32,32
01:08:08 03-09-2025,139.747375488281,0,0,139.747375488281,0,43.2000007629395,11.6530303955078,139.857269287109,0,0,0,0,32,32
01:09:08 03-09-2025,140.022109985352,0,0,140.022109985352,0,46.2000007629395,11.8285503387451,139.912216186523,0,0,0,0,32,32
01:10:08 03-09-2025,139.967163085938,0,0,139.967163085938,0,45.2000007629395,11.9582824707031,140.186935424805,0,0,0,0,32,32
01:11:08 03-09-2025,139.19792175293,0,0,139.19792175293,0,47.4000015258789,12.0803833007813,139.857269287109,0,0,0,0,32,32
01:12:08 03-09-2025,139.802322387695,0,0,139.802322387695,0,44.7000007629395,12.1872215270996,139.912216186523,0,0,0,0,32,32
01:13:08 03-09-2025,140.186935424805,0,0,140.186935424805,0,45.5,12.2864284515381,140.131988525391,0,0,0,0,32,32
01:14:08 03-09-2025,139.912216186523,0,0,139.912216186523,0,38.9000015258789,12.355110168457,139.967163085938,0,0,0,0,32,32
01:15:08 03-09-2025,139.47265625,0,0,139.47265625,0,37.2000007629395,12.423791885376,139.912216186523,0,0,0,0,32,32
01:16:08 03-09-2025,139.527603149414,0,0,139.527603149414,0,43.0999984741211,12.5001049041748,139.912216186523,0,0,0,0,32,32
01:17:08 03-09-2025,140.022109985352,0,0,140.022109985352,0,43.7999992370605,12.5764179229736,139.967163085938,0,0,0,0,32,32
01:18:08 03-09-2025,139.307815551758,0,0,139.307815551758,0,42.0999984741211,12.6222057342529,139.857269287109,0,0,0,0,32,32
01:19:08 03-09-2025,139.747375488281,0,0,139.747375488281,0,46.0999984741211,12.6679935455322,139.912216186523,0,0,0,0,32,32
01:20:08 03-09-2025,139.47265625,0,0,139.47265625,0,43.0999984741211,12.7137813568115,139.857269287109,0,0,0,0,32,32
01:21:08 03-09-2025,139.802322387695,0,0,139.912216186523,0,41.7999992370605,12.7672004699707,140.022109985352,0,0,0,0,32,32
01:22:08 03-09-2025,139.582550048828,0,0,139.582550048828,0,43.2000007629395,12.8053569793701,139.857269287109,139.857269287109,0,0,0,32,32
01:23:08 03-09-2025,140.077041625977,0,0,140.077041625977,0,40.0999984741211,12.8816699981689,140.296829223633,140.296829223633,0,0,0,32,32
01:24:08 03-09-2025,140.296829223633,0,0,140.351776123047,0,30.6000003814697,12.8893013000488,140.461669921875,140.406723022461,0,0,0,32,32
01:25:09 03-09-2025,140.681442260742,0,0,140.681442260742,0,40.2000007629395,12.8816699981689,140.296829223633,140.296829223633,0,0,0,32,32
01:26:09 03-09-2025,139.912216186523,0,0,139.912216186523,0,32.2000007629395,12.9198265075684,140.131988525391,140.131988525391,0,0,0,32,32
01:27:09 03-09-2025,140.406723022461,0,0,140.406723022461,0,34.2000007629395,12.9350891113281,140.296829223633,140.296829223633,0,0,0,32,32
01:28:09 03-09-2025,139.802322387695,0,0,139.802322387695,0,36.2000007629395,12.9350891113281,140.241882324219,140.241882324219,0,0,0,32,32
01:29:09 03-09-2025,139.967163085938,0,0,139.967163085938,0,26,12.942720413208,140.077041625977,140.077041625977,0,0,0,32,32
01:30:09 03-09-2025,140.022109985352,0,0,140.022109985352,0,24,12.9198265075684,140.296829223633,140.296829223633,0,0,0,32,32
01:31:09 03-09-2025,140.022109985352,0,0,140.022109985352,0,41,12.9579830169678,140.241882324219,140.186935424805,0,0,0,32,32
01:32:09 03-09-2025,139.637481689453,0,139.637481689453,0,0,40.7000007629395,12.9656143188477,139.967163085938,0,0,0,0,32,32
01:33:09 03-09-2025,107.714385986328,0,107.714385986328,0,0,50.5,4.2048807144165,109.527572631836,0,0,0,0,32,32
01:34:09 03-09-2025,111.835266113281,0,111.835266113281,0,0,50.7999992370605,6.77662944793701,113.044059753418,0,0,0,0,32,32
01:35:09 03-09-2025,116.066040039063,0,115.90119934082,0,0,47.5,8.56235313415527,116.835266113281,0,0,0,0,32,32
01:36:09 03-09-2025,120.186920166016,0,120.186920166016,0,0,46.7999992370605,9.6154727935791,120.296813964844,0,0,0,0,32,32
01:37:09 03-09-2025,123.263854980469,0,123.153961181641,0,0,49.2000007629395,10.1878204345703,123.758346557617,0,0,0,0,32,32
01:38:09 03-09-2025,126.175933837891,0,126.175933837891,0,0,45.0999984741211,10.5159664154053,126.780334472656,0,0,0,0,32,32
01:39:09 03-09-2025,129.362747192383,0,129.362747192383,0,0,46.9000015258789,10.6838550567627,129.692428588867,0,0,0,0,32,32
01:40:09 03-09-2025,131.725387573242,0,131.725387573242,0,0,44.0999984741211,10.7983245849609,132.000122070313,0,0,0,0,32,32
01:41:09 03-09-2025,133.978149414063,0,133.978149414063,0,0,45.7999992370605,10.8670063018799,133.81330871582,0,0,0,0,32,32
01:42:09 03-09-2025,135.351776123047,0,135.351776123047,0,0,45.5,10.9051628112793,135.351776123047,0,0,0,0,32,32
01:43:09 03-09-2025,136.011108398438,0,136.011108398438,0,0,48.2999992370605,10.9280567169189,136.505615234375,0,0,0,0,32,32
01:44:09 03-09-2025,137.110015869141,0,137.110015869141,0,0,44.5,10.9433193206787,137.549575805664,0,0,0,0,32,32
01:45:09 03-09-2025,137.714416503906,0,137.714416503906,0,0,45.0999984741211,10.9738445281982,138.318801879883,0,0,0,0,32,32
01:46:09 03-09-2025,138.373748779297,0,138.373748779297,0,0,41.4000015258789,10.9051628112793,138.81330871582,0,0,0,0,32,32
01:47:09 03-09-2025,139.307815551758,0,139.307815551758,0,0,44.0999984741211,10.9662132263184,139.582550048828,0,0,0,0,32,32
01:48:09 03-09-2025,139.362762451172,0,139.362762451172,0,0,45.5,10.989107131958,139.967163085938,0,0,0,0,32,32
01:49:09 03-09-2025,139.637481689453,0,139.802322387695,0,0,44.0999984741211,10.989107131958,140.351776123047,0,0,0,0,32,32
01:50:09 03-09-2025,140.351776123047,0,140.351776123047,0,0,45.7999992370605,10.9967384338379,140.79133605957,0,0,0,0,32,32
01:51:09 03-09-2025,140.626495361328,0,140.626495361328,0,0,46.2999992370605,10.9814758300781,141.066055297852,0,0,0,0,32,32
01:52:09 03-09-2025,140.846282958984,0,140.846282958984,0,0,44.5999984741211,10.9662132263184,141.17594909668,0,0,0,0,32,32
01:53:09 03-09-2025,141.121002197266,0,141.121002197266,0,0,46.4000015258789,10.9738445281982,141.615509033203,0,0,0,0,32,32
01:54:09 03-09-2025,141.45068359375,0,141.45068359375,0,0,46.9000015258789,10.989107131958,141.670455932617,0,0,0,0,32,32
01:55:09 03-09-2025,141.011108398438,0,141.066055297852,0,0,46,10.9738445281982,141.670455932617,0,0,0,0,32,32
01:56:09 03-09-2025,141.285842895508,0,141.285842895508,0,0,44,10.989107131958,142.000122070313,0,0,0,0,32,32
01:57:09 03-09-2025,141.505615234375,0,141.505615234375,0,0,45.5999984741211,10.9738445281982,142.110015869141,0,0,0,0,32,32
01:58:09 03-09-2025,141.780349731445,0,141.780349731445,0,0,45.2000007629395,10.9814758300781,142.274856567383,0,0,0,0,32,32
01:59:09 03-09-2025,141.615509033203,0,141.615509033203,0,0,42.7000007629395,10.9814758300781,142.274856567383,0,0,0,0,32,32
02:00:09 03-09-2025,142.110015869141,0,142.110015869141,0,0,42.0999984741211,10.9738445281982,142.274856567383,0,0,0,0,32,32
02:01:10 03-09-2025,141.835296630859,0,141.835296630859,0,0,42.2000007629395,10.9204254150391,142.824310302734,0,0,0,0,32,32
02:02:10 03-09-2025,141.780349731445,0,142.110015869141,0,0,44.7999992370605,10.9662132263184,142.604522705078,0,0,0,0,32,32
02:03:10 03-09-2025,142.110015869141,0,142.110015869141,0,0,42.9000015258789,10.9738445281982,142.659469604492,0,0,0,0,32,32
02:04:10 03-09-2025,142.329803466797,0,142.329803466797,0,0,45,10.989107131958,142.659469604492,0,0,0,0,32,32
02:05:10 03-09-2025,141.725402832031,0,141.725402832031,0,0,46.0999984741211,10.989107131958,142.714416503906,0,0,0,0,32,32
02:06:10 03-09-2025,142.219909667969,0,142.219909667969,0,0,45.9000015258789,10.9967384338379,142.76936340332,0,0,0,0,32,32
02:07:10 03-09-2025,142.384750366211,0,142.384750366211,0,0,40.7000007629395,10.989107131958,142.879241943359,0,0,0,0,32,32
02:08:10 03-09-2025,142.110015869141,0,142.164962768555,0,0,44.7999992370605,10.8975315093994,142.76936340332,0,0,0,0,32,32
02:09:10 03-09-2025,141.780349731445,0,141.780349731445,0,0,45.7999992370605,10.9967384338379,142.76936340332,0,0,0,0,32,32
02:10:10 03-09-2025,142.164962768555,0,142.164962768555,0,0,45,10.989107131958,142.714416503906,0,0,0,0,32,32
02:11:10 03-09-2025,142.384750366211,0,142.384750366211,0,0,46.4000015258789,10.989107131958,142.714416503906,0,0,0,0,32,32
02:12:10 03-09-2025,141.780349731445,0,141.780349731445,0,0,45.7999992370605,10.9814758300781,142.714416503906,0,0,0,142.714416503906,32,32
02:13:10 03-09-2025,142.164962768555,0,142.164962768555,0,0,33.0999984741211,11.118839263916,142.934188842773,0,0,0,142.879241943359,32,32
02:14:10 03-09-2025,142.055068969727,0,142.055068969727,0,0,24.7000007629395,11.0806827545166,142.824310302734,0,0,0,142.824310302734,32,32
02:15:10 03-09-2025,142.76936340332,0,142.76936340332,0,0,33.5999984741211,11.0425262451172,142.934188842773,0,0,0,142.934188842773,32,32
02:16:10 03-09-2025,142.714416503906,0,142.714416503906,0,0,28.7000007629395,11.0196323394775,143.208923339844,0,0,0,143.208923339844,32,32
02:17:10 03-09-2025,142.384750366211,0,0,0,0,39.7000007629395,10.989107131958,142.989135742188,0,142.934188842773,0,0,32,32
02:18:10 03-09-2025,49.6923599243164,0,0,0,0,54,18.9332904815674,63.208854675293,0,63.208854675293,0,0,32,32
02:19:10 03-09-2025,42.4945526123047,0,0,0,0,50.2000007629395,18.9256591796875,60.5714874267578,0,60.5714874267578,0,0,32,32
02:20:10 03-09-2025,38.9231185913086,0,0,0,0,50.5999984741211,18.9103965759277,61.0659942626953,0,61.0659942626953,0,0,32,32
02:21:10 03-09-2025,37.5494918823242,0,0,0,0,51.5,18.9103965759277,57.7143402099609,0,57.7143402099609,0,0,32,32
02:22:10 03-09-2025,36.1758651733398,36.1758651733398,0,0,0,46.5,18.9027652740479,54.6923599243164,0,0,0,0,32,32
02:23:10 03-09-2025,106.28581237793,106.28581237793,0,0,0,27.8999996185303,3.25860023498535,102.055038452148,0,0,0,0,32,32
02:24:10 03-09-2025,110.571533203125,110.626472473145,0,0,0,28.3999996185303,3.06781768798828,108.813285827637,0,0,0,0,32,32
02:25:10 03-09-2025,112.109992980957,112.109992980957,0,0,0,27.5,3.68595218658447,111.285820007324,0,0,0,0,32,32
02:26:10 03-09-2025,111.945159912109,111.945159912109,0,0,0,28,4.65512752532959,111.670433044434,0,0,0,0,32,32
02:27:10 03-09-2025,112.219886779785,112.219886779785,0,0,0,27.8999996185303,5.7158784866333,111.505599975586,0,0,0,0,32,32
02:28:10 03-09-2025,111.450653076172,111.450653076172,0,0,0,27.3999996185303,6.59347820281982,111.395706176758,0,0,0,0,32,32
02:29:10 03-09-2025,111.011093139648,111.011093139648,0,0,0,29.3999996185303,7.25740146636963,110.516586303711,0,0,0,0,32,32
02:30:10 03-09-2025,110.186912536621,110.186912536621,0,0,0,28.8999996185303,7.79922294616699,110.077026367188,0,0,0,0,32,32
02:31:10 03-09-2025,109.417686462402,109.58251953125,0,0,0,28.2000007629395,8.20368194580078,109.58251953125,0,0,0,0,32,32
02:32:10 03-09-2025,109.033065795898,109.362739562988,0,0,0,28.5,8.52419662475586,108.868232727051,0,0,0,0,32,32
02:33:10 03-09-2025,108.703399658203,108.593505859375,0,0,0,28.2999992370605,8.78366088867188,108.538558959961,0,0,0,0,32,32
02:34:10 03-09-2025,108.373725891113,108.373725891113,0,0,0,27.3999996185303,8.98207473754883,107.659439086914,0,0,0,0,32,32
02:35:10 03-09-2025,107.164932250977,107.164932250977,0,0,0,28.5,9.1728572845459,106.780319213867,0,0,0,0,32,32
02:36:11 03-09-2025,106.780319213867,106.780319213867,0,0,0,29,9.3483772277832,106.560539245605,0,0,0,0,32,32
02:37:11 03-09-2025,106.120979309082,0,0,0,106.230865478516,31.6000003814697,9.49337196350098,105.791305541992,0,0,0,0,32,32
02:38:11 03-09-2025,127.21989440918,0,0,0,127.21989440918,34.5999984741211,10.1572952270508,126.945175170898,0,0,0,0,32,32
02:39:11 03-09-2025,129.582534790039,0,0,0,129.582534790039,36.0999984741211,10.9127941131592,130.736389160156,0,0,0,0,32,32
02:40:11 03-09-2025,131.066055297852,0,0,0,131.066055297852,33.5,11.6530303955078,132.21989440918,0,0,0,0,32,32
02:41:11 03-09-2025,131.670455932617,0,0,0,131.725387573242,35.5999984741211,12.355110168457,133.153961181641,0,0,0,0,32,32
02:42:11 03-09-2025,132.989135742188,0,0,0,132.989135742188,34.2000007629395,12.9961395263672,134.142974853516,0,0,0,0,32,32
02:43:11 03-09-2025,133.703414916992,0,0,0,133.703414916992,33.7999992370605,13.4921722412109,134.692428588867,0,0,0,0,32,32
02:44:11 03-09-2025,132.934188842773,0,0,0,132.934188842773,33.4000015258789,13.881368637085,135.022094726563,0,0,0,0,32,32
02:45:11 03-09-2025,134.033081054688,0,0,0,134.033081054688,35.4000015258789,14.1713581085205,135.571548461914,0,0,0,0,32,32
02:46:11 03-09-2025,134.637481689453,0,0,0,134.637481689453,35.9000015258789,14.400297164917,136.066055297852,0,0,0,0,32,32
02:47:11 03-09-2025,134.527587890625,0,0,0,134.527587890625,34.5,14.5987110137939,136.340774536133,0,0,0,0,32,32
02:48:11 03-09-2025,134.527587890625,0,0,0,134.47265625,33.7000007629395,14.7131805419922,136.505615234375,0,0,0,0,32,32
02:49:11 03-09-2025,135.5166015625,0,0,0,135.461654663086,35.2999992370605,14.8276500701904,136.615509033203,0,0,0,0,32,32
02:50:11 03-09-2025,136.340774536133,0,0,0,136.340774536133,33.2000007629395,14.9650135040283,137.000122070313,0,0,0,0,32,32
02:51:11 03-09-2025,135.736389160156,0,0,0,135.736389160156,35.2999992370605,15.0642204284668,137.000122070313,0,0,0,0,32,32
02:52:11 03-09-2025,136.011108398438,0,0,0,136.011108398438,36,15.1329021453857,137.274841308594,0,0,0,0,32,32
02:53:11 03-09-2025,136.17594909668,0,0,0,136.17594909668,36.4000015258789,15.2015838623047,137.055068969727,0,0,0,0,32,32
02:54:11 03-09-2025,135.406707763672,0,0,0,135.241882324219,34.7999992370605,15.2092151641846,137.329788208008,0,0,0,0,32,32
02:55:11 03-09-2025,135.736389160156,0,0,0,135.901214599609,33.7000007629395,15.2626342773438,137.219909667969,0,0,0,0,32,32
02:56:11 03-09-2025,136.450668334961,0,0,0,136.450668334961,35.2000007629395,15.2778968811035,137.110015869141,0,0,0,0,32,32
02:57:11 03-09-2025,136.395721435547,0,0,0,136.285842895508,34.9000015258789,15.3236846923828,137.439682006836,0,0,0,0,32,32
02:58:11 03-09-2025,135.571548461914,0,0,0,135.571548461914,33.9000015258789,15.3999977111816,137.329788208008,0,0,0,0,32,32
02:59:11 03-09-2025,135.901214599609,0,0,0,135.901214599609,35.2999992370605,15.3465785980225,137.384735107422,0,0,0,0,32,32
03:00:11 03-09-2025,136.230895996094,0,0,0,136.230895996094,34.5,15.3847351074219,137.274841308594,0,0,0,0,32,32
03:01:11 03-09-2025,135.296829223633,0,0,0,135.351776123047,35,15.3999977111816,137.164962768555,0,0,0,0,32,32
03:02:11 03-09-2025,134.857269287109,0,0,135.131988525391,0,37.5,15.2092151641846,137.164962768555,0,0,0,0,32,32
03:03:11 03-09-2025,135.351776123047,0,0,135.351776123047,0,45.5,4.70091533660889,135.131988525391,0,0,0,0,32,32
03:04:11 03-09-2025,136.945175170898,0,0,136.945175170898,0,39.5999984741211,6.97504329681396,137.274841308594,0,0,0,0,32,32
03:05:11 03-09-2025,138.15397644043,0,0,138.15397644043,0,39.7000007629395,8.1960506439209,138.044082641602,0,0,0,0,32,32
03:06:11 03-09-2025,138.15397644043,0,0,138.15397644043,0,40.5,9.03549385070801,138.593536376953,0,0,0,0,32,32
03:07:11 03-09-2025,138.593536376953,0,0,138.483642578125,0,42.2000007629395,9.76046752929688,138.758361816406,0,0,0,0,32,32
03:08:11 03-09-2025,138.648483276367,0,0,138.648483276367,0,43.5,10.3099212646484,139.088043212891,0,0,0,0,32,32
03:09:11 03-09-2025,139.307815551758,0,0,139.307815551758,0,43,10.7372741699219,139.19792175293,0,0,0,0,32,32
03:10:11 03-09-2025,139.307815551758,0,0,139.033096313477,0,45.5,11.0425262451172,139.252868652344,0,0,0,0,32,32
03:11:11 03-09-2025,138.978149414063,0,0,138.978149414063,0,40,11.3096218109131,139.417709350586,0,0,0,0,32,32
03:12:11 03-09-2025,139.362762451172,0,0,138.923202514648,0,42.2000007629395,11.5614547729492,139.307815551758,0,0,0,0,32,32
03:13:11 03-09-2025,139.857269287109,0,0,139.857269287109,0,43.5999984741211,11.7369747161865,139.747375488281,0,0,0,0,32,32
03:14:12 03-09-2025,139.692428588867,0,0,139.692428588867,0,45.5,11.9048633575439,139.637481689453,0,0,0,0,32,32
03:15:12 03-09-2025,139.19792175293,0,0,139.252868652344,0,42.9000015258789,12.034595489502,139.47265625,0,0,0,0,32,32
03:16:12 03-09-2025,139.307815551758,0,0,139.307815551758,0,42.7999992370605,12.1566963195801,139.417709350586,0,0,0,0,32,32
03:17:12 03-09-2025,139.19792175293,0,0,139.19792175293,0,44.2999992370605,12.2635345458984,139.417709350586,0,0,0,0,32,32
03:18:12 03-09-2025,139.582550048828,0,0,139.582550048828,0,40.9000015258789,12.3627414703369,139.637481689453,0,0,0,0,32,32
03:19:12 03-09-2025,139.307815551758,0,0,139.307815551758,0,45.2000007629395,12.4390544891357,139.527603149414,0,0,0,0,32,32
03:20:12 03-09-2025,139.417709350586,0,0,139.417709350586,0,44.5,12.5153675079346,139.582550048828,0,0,0,0,32,32
03:21:12 03-09-2025,139.033096313477,0,0,139.033096313477,0,42.7999992370605,12.5764179229736,139.417709350586,0,0,0,0,32,32
03:22:12 03-09-2025,139.417709350586,0,0,139.417709350586,0,44.7000007629395,12.6450996398926,139.417709350586,0,0,0,0,32,32
03:23:12 03-09-2025,139.19792175293,0,0,139.19792175293,0,43,12.6985187530518,139.362762451172,0,0,0,0,32,32
03:24:12 03-09-2025,139.142974853516,0,0,139.142974853516,0,43.9000015258789,12.7519378662109,139.527603149414,0,0,0,0,32,32
